,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,photos,hours,transactions,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,location.cross_streets,coordinates.latitude,coordinates.longitude,special_hours,price,messaging.url,messaging.use_case_text
0,lkZLpOi5CfJwitWr899sEw,downtown-chiropractic-and-massage-therapy-salt-lake-city-5,Downtown Chiropractic & Massage Therapy,https://s3-media2.fl.yelpcdn.com/bphoto/bSE4iQ3rqWSmsGmnN4mp1g/o.jpg,True,False,https://www.yelp.com/biz/downtown-chiropractic-and-massage-therapy-salt-lake-city-5?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18013223067,(801) 322-3067,14,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]",4.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/bSE4iQ3rqWSmsGmnN4mp1g/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/m9po5rkRvdV78hkRnK3gtw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0845', 'end': '1745', 'day': 0}, {'is_overnight': False, 'start': '0845', 'end': '1200', 'day': 1}, {'is_overnight': False, 'start': '0845', 'end': '1745', 'day': 2}, {'is_overnight': False, 'start': '0845', 'end': '1745', 'day': 4}, {'is_overnight': False, 'start': '0930', 'end': '1200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],261 E 300 S,Ste 310,,Salt Lake City,84111,US,UT,"['261 E 300 S', 'Ste 310', 'Salt Lake City, UT 84111']",,40.763148,-111.883208,,,,
1,7tOrRobAKIwBEWg-0uNANw,aspen-falls-spinal-care-center-salt-lake-city,Aspen Falls Spinal Care Center,https://s3-media3.fl.yelpcdn.com/bphoto/yDSqOmcKRM6HXPskJHmMQA/o.jpg,True,False,https://www.yelp.com/biz/aspen-falls-spinal-care-center-salt-lake-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18016589394,(801) 658-9394,34,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]",4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/yDSqOmcKRM6HXPskJHmMQA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/aWs_WWulyddcJVvsz6ovig/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/7psscCrVV67I9gjuN1ZuOQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0730', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0730', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0730', 'end': '1300', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],370 S Temple,Ste 100,,Salt Lake City,84111,US,UT,"['370 S Temple', 'Ste 100', 'Salt Lake City, UT 84111']",,40.769008,-111.880223,,,,
2,Zb5NMPE82Jtygb6sfhg0yQ,the-joint-chiropractic-salt-lake-city,The Joint Chiropractic,https://s3-media4.fl.yelpcdn.com/bphoto/sqe1xh4xi1R3C3vikSg1Xg/o.jpg,True,False,https://www.yelp.com/biz/the-joint-chiropractic-salt-lake-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18017582342,(801) 758-2342,71,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}]",4.0,"['https://s3-media4.fl.yelpcdn.com/bphoto/sqe1xh4xi1R3C3vikSg1Xg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/8LteUpEqF5XFIlbQ0lRxww/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/oEqa7etEyKPwinUrYwKOlQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],1126 E 2100th S,,,Salt Lake City,84106,US,UT,"['1126 E 2100th S', 'Salt Lake City, UT 84106']",,40.7246437626386,-111.85842979813,"[{'date': '2021-05-31', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-06-01', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-07-05', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-07-06', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-09-06', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-09-07', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-11-25', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-11-26', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-12-24', 'is_closed': None, 'start': '0900', 'end': '1500', 'is_overnight': False}, {'date': '2021-12-31', 'is_closed': None, 'start': '0900', 'end': '1700', 'is_overnight': False}]",,,
3,_NTUqiqKjxH4CRIHzKSw2A,the-joint-chiropractic-west-valley-city-7,The Joint Chiropractic,https://s3-media1.fl.yelpcdn.com/bphoto/PvqOuWWIV_-ZFCYAGzVQlg/o.jpg,True,False,https://www.yelp.com/biz/the-joint-chiropractic-west-valley-city-7?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+13852708132,(385) 270-8132,11,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}]",4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/PvqOuWWIV_-ZFCYAGzVQlg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/UOXCU2StZGl7Olw-2aLyIw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/5xlp1dRGOjuOGGALdmRr0A/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1445', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1445', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1445', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1445', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1445', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],5567 W High Market Dr,Ste K-300,,Salt Lake City,84120,US,UT,"['5567 W High Market Dr', 'Ste K-300', 'Salt Lake City, UT 84120']",,40.71248490216033,-112.02438339140166,"[{'date': '2021-05-31', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-07-04', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-09-06', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-11-25', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-12-24', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-12-25', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2021-12-31', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-01-01', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}]",,,
4,Vy-lMxq3SnwetHsHpYCJ-w,salt-lake-chiropractic-salt-lake-city-3,Salt Lake Chiropractic,https://s3-media2.fl.yelpcdn.com/bphoto/VnKPMHcaPqoygUKme2V5eA/o.jpg,True,False,https://www.yelp.com/biz/salt-lake-chiropractic-salt-lake-city-3?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18019071894,(801) 907-1894,13,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}]",4.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/VnKPMHcaPqoygUKme2V5eA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/VTKnuT2fIIuYkt2fX2N07g/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/059dxcxeevtFW_Ef_5AaHg/o.jpg']",,[],1088 S 1100th E,,,Salt Lake City,84105,US,UT,"['1088 S 1100th E', 'Salt Lake City, UT 84105']",,40.745359455265344,-111.85986320230687,,,,
5,FaAZPSI2Adoushmh50aJBA,holladay-chiropractic-center-salt-lake-city,Holladay Chiropractic Center,https://s3-media3.fl.yelpcdn.com/bphoto/3J5pN95DatVk55FKWrHw7g/o.jpg,True,False,https://www.yelp.com/biz/holladay-chiropractic-center-salt-lake-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014869201,(801) 486-9201,10,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}, {'alias': 'nutritionists', 'title': 'Nutritionists'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]",4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/3J5pN95DatVk55FKWrHw7g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/MomsXJTTmG7y5iaIRGXWtQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/YM6NKjqxwjJoKxoVZDhOUw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0730', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0730', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '1800', 'day': 3}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],3424 S 2300th E,,,Salt Lake City,84109,US,UT,"['3424 S 2300th E', 'Salt Lake City, UT 84109']",,40.696881,-111.82485,,,,
6,nnp9CIgeB8O5ttW40nzYqA,creekside-chiropractic-salt-lake-city,Creekside Chiropractic,https://s3-media3.fl.yelpcdn.com/bphoto/tavMDRbDEYRqBM5jU7-Lkg/o.jpg,True,False,https://www.yelp.com/biz/creekside-chiropractic-salt-lake-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18012566675,(801) 256-6675,9,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'massage', 'title': 'Massage'}]",4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/tavMDRbDEYRqBM5jU7-Lkg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/_NcDsWHVpDlyyqi48RgAkA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/K7GYpwhMuFyA5Z2E05S-rw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1200', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1200', 'day': 2}, {'is_overnight': False, 'start': '1500', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1200', 'day': 3}, {'is_overnight': False, 'start': '1500', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1300', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],1377 E 3900th S,Ste 100,,Salt Lake City,84124,US,UT,"['1377 E 3900th S', 'Ste 100', 'Salt Lake City, UT 84124']",,40.687108,-111.851708,,$$$,,
7,nf4BoW_vh5-N46Jm9jIqXw,salt-lake-sports-chiropractic-salt-lake-city,Salt Lake Sports Chiropractic,https://s3-media1.fl.yelpcdn.com/bphoto/W17OlayPotVgodk-RNW1Mw/o.jpg,True,False,https://www.yelp.com/biz/salt-lake-sports-chiropractic-salt-lake-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014560350,(801) 456-0350,4,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}]",5.0,"['https://s3-media1.fl.yelpcdn.com/bphoto/W17OlayPotVgodk-RNW1Mw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/79HBzEeL-KybglneuPu9-g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/sz31wnBjFuP7bMackkmbBQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1300', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1300', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],3980 S 700th E,,,Salt Lake City,84107,US,UT,"['3980 S 700th E', 'Salt Lake City, UT 84107']",,40.6853713989258,-111.872314453125,,,,
8,IrrKGtxCCo0lBwZm-uC-iQ,bountiful-family-wellness-center-bountiful,Bountiful Family Wellness Center,https://s3-media3.fl.yelpcdn.com/bphoto/gS_Psu0PGuOkjJQrkxPtwg/o.jpg,False,False,https://www.yelp.com/biz/bountiful-family-wellness-center-bountiful?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18012984646,(801) 298-4646,5,"[{'alias': 'chiropractors', 'title': 'Chiropractors'}]",5.0,"['https://s3-media3.fl.yelpcdn.com/bphoto/gS_Psu0PGuOkjJQrkxPtwg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/z_jNizw-K046y_nvu8Wpmw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/o4ue-Tyg8Nm9SYDdGGlRyw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0600', 'end': '1730', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '1730', 'day': 2}, {'is_overnight': False, 'start': '0530', 'end': '1300', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],565 W 2600 S,,,Bountiful,84010,US,UT,"['565 W 2600 S', 'Bountiful, UT 84010']",,40.8605338,-111.8938493,,,,
