categories_alias,categories_title,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,rating,location,coordinates,photos,hours
chiropractors,Chiropractors,QjKSMkhxXL1xlreUUuk0Ug,the-joint-chiropractic-spanish-fork,The Joint Chiropractic,https://s3-media2.fl.yelpcdn.com/bphoto/v1KcwDUuQjINcK8tgpCKSg/o.jpg,True,False,https://www.yelp.com/biz/the-joint-chiropractic-spanish-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18015095071,(801) 509-5071,10,4.5,"{'address1': '409 E 1000th N', 'address2': None, 'address3': None, 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['409 E 1000th N', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1231346, 'longitude': -111.647368500594}","['https://s3-media2.fl.yelpcdn.com/bphoto/v1KcwDUuQjINcK8tgpCKSg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/ylYk0xM_BFE8VEPo4fi4Fw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/yht8teZMJ47UB6ktEOKDDA/o.jpg']","{'open': [{'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,Nki4jizqbVRk4UW6ZHQHFA,oldroyd-sports-and-family-chiropractic-spanish-fork-2,Oldroyd Sports & Family Chiropractic,https://s3-media3.fl.yelpcdn.com/bphoto/-3RU3fskZLrFWuAOjnNrZA/o.jpg,True,False,https://www.yelp.com/biz/oldroyd-sports-and-family-chiropractic-spanish-fork-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18017982482,(801) 798-2482,4,5.0,"{'address1': '800 North 100 E', 'address2': '', 'address3': '', 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['800 North 100 E', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1198715, 'longitude': -111.6531917}","['https://s3-media3.fl.yelpcdn.com/bphoto/-3RU3fskZLrFWuAOjnNrZA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/GpM4fMbbtsJxLAQC4bWKRQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/_b50MH33pup7Z6i3ZyzidA/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,BSu876rGsFohLRwPVALQrw,maple-ridge-chiropractic-and-massage-springville,Maple Ridge Chiropractic & Massage,https://s3-media3.fl.yelpcdn.com/bphoto/Xr2rfiDLpoAZ_gf4c6hcZg/o.jpg,True,False,https://www.yelp.com/biz/maple-ridge-chiropractic-and-massage-springville?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18016553989,(801) 655-3989,4,5.0,"{'address1': '25 N Main St', 'address2': '', 'address3': '', 'city': 'Springville', 'zip_code': '84663', 'country': 'US', 'state': 'UT', 'display_address': ['25 N Main St', 'Springville, UT 84663'], 'cross_streets': ''}","{'latitude': 40.1670943, 'longitude': -111.6110572}","['https://s3-media3.fl.yelpcdn.com/bphoto/Xr2rfiDLpoAZ_gf4c6hcZg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/HP928xCl4QzBq8EfhWO6Xg/o.jpg']","{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}"
massage_therapy,Massage Therapy,BSu876rGsFohLRwPVALQrw,maple-ridge-chiropractic-and-massage-springville,Maple Ridge Chiropractic & Massage,https://s3-media3.fl.yelpcdn.com/bphoto/Xr2rfiDLpoAZ_gf4c6hcZg/o.jpg,True,False,https://www.yelp.com/biz/maple-ridge-chiropractic-and-massage-springville?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18016553989,(801) 655-3989,4,5.0,"{'address1': '25 N Main St', 'address2': '', 'address3': '', 'city': 'Springville', 'zip_code': '84663', 'country': 'US', 'state': 'UT', 'display_address': ['25 N Main St', 'Springville, UT 84663'], 'cross_streets': ''}","{'latitude': 40.1670943, 'longitude': -111.6110572}","['https://s3-media3.fl.yelpcdn.com/bphoto/Xr2rfiDLpoAZ_gf4c6hcZg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/HP928xCl4QzBq8EfhWO6Xg/o.jpg']","{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,p0VeFc3fSzP6rn-9tZpCgg,aspen-summit-chiropractic-mapleton-2,Aspen Summit Chiropractic,https://s3-media2.fl.yelpcdn.com/bphoto/tFn-3g1OElL3hpXmLCB6mw/o.jpg,True,False,https://www.yelp.com/biz/aspen-summit-chiropractic-mapleton-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18018556767,(801) 855-6767,6,5.0,"{'address1': '726 S 1600th W', 'address2': 'Ste 101', 'address3': '', 'city': 'Mapleton', 'zip_code': '84664', 'country': 'US', 'state': 'UT', 'display_address': ['726 S 1600th W', 'Ste 101', 'Mapleton, UT 84664'], 'cross_streets': ''}","{'latitude': 40.123517, 'longitude': -111.598931}","['https://s3-media2.fl.yelpcdn.com/bphoto/tFn-3g1OElL3hpXmLCB6mw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/WDB5jHPz_ziF5DdKKXes5w/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/zil0VoGbh443kcdzSEj-zw/o.jpg']","{'open': [{'is_overnight': False, 'start': '0830', 'end': '1730', 'day': 0}, {'is_overnight': False, 'start': '0830', 'end': '1730', 'day': 1}, {'is_overnight': False, 'start': '0830', 'end': '1730', 'day': 2}, {'is_overnight': False, 'start': '0830', 'end': '1730', 'day': 3}, {'is_overnight': False, 'start': '0830', 'end': '1400', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}"
chiropractors,Chiropractors,QQBdv_RwGbAeolTRKusXZw,axcess-accident-center-spanish-fork-spanish-fork-2,Axcess Accident Center - Spanish Fork,https://s3-media2.fl.yelpcdn.com/bphoto/Rt6LftxuCzVWFuKIVB-fUQ/o.jpg,True,False,https://www.yelp.com/biz/axcess-accident-center-spanish-fork-spanish-fork-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18019800432,(801) 980-0432,1,5.0,"{'address1': '752 E 800th N', 'address2': None, 'address3': '', 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['752 E 800th N', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1198947588699, 'longitude': -111.641568727791}","['https://s3-media2.fl.yelpcdn.com/bphoto/Rt6LftxuCzVWFuKIVB-fUQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Iu20EnT70w9l4qtF2Uhqjw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/coY31afnRyBNSjTAIOll2g/o.jpg']","{'open': [{'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
massage_therapy,Massage Therapy,QQBdv_RwGbAeolTRKusXZw,axcess-accident-center-spanish-fork-spanish-fork-2,Axcess Accident Center - Spanish Fork,https://s3-media2.fl.yelpcdn.com/bphoto/Rt6LftxuCzVWFuKIVB-fUQ/o.jpg,True,False,https://www.yelp.com/biz/axcess-accident-center-spanish-fork-spanish-fork-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18019800432,(801) 980-0432,1,5.0,"{'address1': '752 E 800th N', 'address2': None, 'address3': '', 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['752 E 800th N', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1198947588699, 'longitude': -111.641568727791}","['https://s3-media2.fl.yelpcdn.com/bphoto/Rt6LftxuCzVWFuKIVB-fUQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Iu20EnT70w9l4qtF2Uhqjw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/coY31afnRyBNSjTAIOll2g/o.jpg']","{'open': [{'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
acupuncture,Acupuncture,QQBdv_RwGbAeolTRKusXZw,axcess-accident-center-spanish-fork-spanish-fork-2,Axcess Accident Center - Spanish Fork,https://s3-media2.fl.yelpcdn.com/bphoto/Rt6LftxuCzVWFuKIVB-fUQ/o.jpg,True,False,https://www.yelp.com/biz/axcess-accident-center-spanish-fork-spanish-fork-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18019800432,(801) 980-0432,1,5.0,"{'address1': '752 E 800th N', 'address2': None, 'address3': '', 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['752 E 800th N', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1198947588699, 'longitude': -111.641568727791}","['https://s3-media2.fl.yelpcdn.com/bphoto/Rt6LftxuCzVWFuKIVB-fUQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Iu20EnT70w9l4qtF2Uhqjw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/coY31afnRyBNSjTAIOll2g/o.jpg']","{'open': [{'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,3ph9IA9ga7nC26wdBi77cQ,advanced-spinal-care-center-spanish-fork,Advanced Spinal Care Center,https://s3-media1.fl.yelpcdn.com/bphoto/4Fyc9kKsw6CZOP6FOUwsGQ/o.jpg,True,False,https://www.yelp.com/biz/advanced-spinal-care-center-spanish-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18018233112,(801) 823-3112,3,5.0,"{'address1': '205 N Main St', 'address2': None, 'address3': None, 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['205 N Main St', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1126917948152, 'longitude': -111.655110728836}","['https://s3-media1.fl.yelpcdn.com/bphoto/4Fyc9kKsw6CZOP6FOUwsGQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/yPPKbwyxyPtNgKZ_l9PAsw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/2CqmTW61O7nPG0AAPn9CuQ/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1100', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
nutritionists,Nutritionists,3ph9IA9ga7nC26wdBi77cQ,advanced-spinal-care-center-spanish-fork,Advanced Spinal Care Center,https://s3-media1.fl.yelpcdn.com/bphoto/4Fyc9kKsw6CZOP6FOUwsGQ/o.jpg,True,False,https://www.yelp.com/biz/advanced-spinal-care-center-spanish-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18018233112,(801) 823-3112,3,5.0,"{'address1': '205 N Main St', 'address2': None, 'address3': None, 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['205 N Main St', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1126917948152, 'longitude': -111.655110728836}","['https://s3-media1.fl.yelpcdn.com/bphoto/4Fyc9kKsw6CZOP6FOUwsGQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/yPPKbwyxyPtNgKZ_l9PAsw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/2CqmTW61O7nPG0AAPn9CuQ/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1100', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
massage_therapy,Massage Therapy,3ph9IA9ga7nC26wdBi77cQ,advanced-spinal-care-center-spanish-fork,Advanced Spinal Care Center,https://s3-media1.fl.yelpcdn.com/bphoto/4Fyc9kKsw6CZOP6FOUwsGQ/o.jpg,True,False,https://www.yelp.com/biz/advanced-spinal-care-center-spanish-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18018233112,(801) 823-3112,3,5.0,"{'address1': '205 N Main St', 'address2': None, 'address3': None, 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['205 N Main St', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1126917948152, 'longitude': -111.655110728836}","['https://s3-media1.fl.yelpcdn.com/bphoto/4Fyc9kKsw6CZOP6FOUwsGQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/yPPKbwyxyPtNgKZ_l9PAsw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/2CqmTW61O7nPG0AAPn9CuQ/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1100', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,my33znf0a5MHpl9vr79kWg,valley-chiropractic-and-wellness-spanish-fork,Valley Chiropractic & Wellness,https://s3-media3.fl.yelpcdn.com/bphoto/QZp7VxIrmYl-g-25LcavNQ/o.jpg,True,False,https://www.yelp.com/biz/valley-chiropractic-and-wellness-spanish-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18018949633,(801) 894-9633,1,5.0,"{'address1': '663 N Main St', 'address2': '', 'address3': '', 'city': 'Spanish Fork', 'zip_code': '84660', 'country': 'US', 'state': 'UT', 'display_address': ['663 N Main St', 'Spanish Fork, UT 84660'], 'cross_streets': ''}","{'latitude': 40.1184065, 'longitude': -111.6548994}","['https://s3-media3.fl.yelpcdn.com/bphoto/QZp7VxIrmYl-g-25LcavNQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/H0Szo7IGGAWYU4_9E9vDJA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/OcKo0XuoBDEi2xgk4COU4A/o.jpg']","{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1230', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1230', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,oz3rHkYJf8sO1vHvOmZ-qg,steve-baker-dc-provo,"Steve Baker, DC",https://s3-media4.fl.yelpcdn.com/bphoto/NWar5hCirmj46fh7dKVMyQ/o.jpg,True,False,https://www.yelp.com/biz/steve-baker-dc-provo?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18012100669,(801) 210-0669,3,5.0,"{'address1': '2230 N University Pkwy', 'address2': 'Bldg 5, Ste A', 'address3': '', 'city': 'Provo', 'zip_code': '84604', 'country': 'US', 'state': 'UT', 'display_address': ['2230 N University Pkwy', 'Bldg 5, Ste A', 'Provo, UT 84604'], 'cross_streets': ''}","{'latitude': 40.26214, 'longitude': -111.66561}","['https://s3-media4.fl.yelpcdn.com/bphoto/NWar5hCirmj46fh7dKVMyQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/pzvK-5LoLL94QR2AhXz8Hw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/RVKC4IwQDi9qd0HT1g6rfQ/o.jpg']","{'open': [{'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
